trade_date,operation,market,symbol,price,quantity,commission,notes
2024-01-01,BUY,CAD,TD.TO,80.25,22.00,0.00,TORONTO-DOMINION BANK
2023-10-01,BUY,CAD,VFV.TO,105.88,10.00,0.00,VANGUARD S&P 500 INDEX ETF TR UNIT
